brit_id,pth_url,ark,title,date,relation,relation_url,relation_type
BRIT-A-AR003-002-01-008,https://texashistory.unt.edu/ark/67531/metapth1634319,ark/67531/metapth1634319,['[Kangaroo laying on the ground in Australia]'],['1962'],,,
BRIT-A-AR003-002-01-007,https://texashistory.unt.edu/ark/67531/metapth1634318,ark/67531/metapth1634318,['[Two wombats in Australia]'],['1962'],,,
BRIT-A-AR003-002-01-003,https://texashistory.unt.edu/ark/67531/metapth1634314,ark/67531/metapth1634314,['[Ostrich close-up in Australia]'],['1962'],,,
BRIT-A-AR003-002-01-004,https://texashistory.unt.edu/ark/67531/metapth1634315,ark/67531/metapth1634315,['[Unidentified animal looking downward in Australia]'],['1962'],,,
BRIT-A-AR003-002-01-005,https://texashistory.unt.edu/ark/67531/metapth1634316,ark/67531/metapth1634316,['[Unidentified animal peering upward in Australia]'],['1962'],,,
BRIT-A-AR003-002-01-002,https://texashistory.unt.edu/ark/67531/metapth1634313,ark/67531/metapth1634313,"['[Small rodent perched on a branch in either Australia or Hawaii, United States]']",['1962'],,,
BRIT-A-AR003-002-01-006,https://texashistory.unt.edu/ark/67531/metapth1634317,ark/67531/metapth1634317,['[Illustration of an unknown bird]'],['1964'],,,
BRIT-A-AR003-002-01-001,https://texashistory.unt.edu/ark/67531/metapth1634312,ark/67531/metapth1634312,['[Two emus standing on dirt in Australia]'],['1962'],,,
BRIT-A-AR003-002--01015,https://texashistory.unt.edu/ark/67531/metapth1634326,ark/67531/metapth1634326,['[Unidentified animal in Australia]'],['1962'],,,
BRIT-A-AR003-002-01-016,https://texashistory.unt.edu/ark/67531/metapth1634327,ark/67531/metapth1634327,['[Unidentified bird in Australia]'],['1963'],,,
BRIT-A-AR003-002-01-014,https://texashistory.unt.edu/ark/67531/metapth1634325,ark/67531/metapth1634325,['[Unidentified bird in Australia]'],['1963'],,,
BRIT-A-AR003-002-01-011,https://texashistory.unt.edu/ark/67531/metapth1634322,ark/67531/metapth1634322,['[Three emus in Australia]'],['1962'],,,
BRIT-A-AR003-002-01-013,https://texashistory.unt.edu/ark/67531/metapth1634324,ark/67531/metapth1634324,['[Illustration of a marsupial rhinoceros from Australia]'],['1962'],,,
BRIT-A-AR003-002-01-010,https://texashistory.unt.edu/ark/67531/metapth1634321,ark/67531/metapth1634321,['[Emu in Australia]'],['1962'],,,
BRIT-A-AR003-002-01-012,https://texashistory.unt.edu/ark/67531/metapth1634323,ark/67531/metapth1634323,['[Unidentified bird in Australia]'],['1963'],,,
BRIT-A-AR003-002-01-009,https://texashistory.unt.edu/ark/67531/metapth1634320,ark/67531/metapth1634320,['[Two dingos laying down in Australia]'],['1962'],,,
BRIT-A-AR003-002-01-018,https://texashistory.unt.edu/ark/67531/metapth1634329,ark/67531/metapth1634329,['[Unidentified animal in Australia]'],['1962'],,,
BRIT-A-AR003-002-01-019,https://texashistory.unt.edu/ark/67531/metapth1634330,ark/67531/metapth1634330,['[Unidentified animal in Australia]'],['1962'],,,
BRIT-A-AR003-002-01-017,https://texashistory.unt.edu/ark/67531/metapth1634328,ark/67531/metapth1634328,['[Unidentified animal in Australia]'],['1962'],,,
BRIT-A-AR003-002-01-020,https://texashistory.unt.edu/ark/67531/metapth1634331,ark/67531/metapth1634331,['[Tasmanian devil in Australia]'],['1962'],,,
BRIT-A-AR003-002-01-022,https://texashistory.unt.edu/ark/67531/metapth1634333,ark/67531/metapth1634333,['[Kangaroo and joey in Australia]'],['[1962..1963]'],,,
BRIT-A-AR003-002-01-021,https://texashistory.unt.edu/ark/67531/metapth1634332,ark/67531/metapth1634332,['[Unidentified bird in Australia]'],['1963'],,,
BRIT-A-AR003-002-01-023,https://texashistory.unt.edu/ark/67531/metapth1634334,ark/67531/metapth1634334,['[Emu in Australia]'],['19XX'],,,
BRIT-A-AR003-002-01-025,https://texashistory.unt.edu/ark/67531/metapth1634336,ark/67531/metapth1634336,"['[Unidentified plants on rocks in Sexial Beach, Portugal]']",['1967'],,,
BRIT-A-AR003-002-01-024,https://texashistory.unt.edu/ark/67531/metapth1634335,ark/67531/metapth1634335,['[Young koala bear on a branch in Australia]'],['19XX'],,,
BRIT-A-AR003-002-01-026,https://texashistory.unt.edu/ark/67531/metapth1634337,ark/67531/metapth1634337,"['[Calendula maderensis in Sexial Beach, Portugal]']",['1967'],,,
BRIT-A-AR003-002-01-027,https://texashistory.unt.edu/ark/67531/metapth1634338,ark/67531/metapth1634338,"['[Calendula maderensis in Sexial Beach, Portugal]']",['1967'],,,
BRIT-A-AR003-002-01-029,https://texashistory.unt.edu/ark/67531/metapth1634340,ark/67531/metapth1634340,"['[Calendula maderensis in Sexial Beach, Portugal]']",['1967'],,,
BRIT-A-AR003-002-01-031,https://texashistory.unt.edu/ark/67531/metapth1634342,ark/67531/metapth1634342,"['[Calendula maderensis in Sexial Beach, Portgual]']",['1967'],,,
BRIT-A-AR003-002-01-030,https://texashistory.unt.edu/ark/67531/metapth1634341,ark/67531/metapth1634341,"['[Calendula maderensis in Sexual Beach, Portugal]']",['1967'],,,
BRIT-A-AR003-002-01-028,https://texashistory.unt.edu/ark/67531/metapth1634339,ark/67531/metapth1634339,"['[Unidentified plant in Madeira, Portugal]']",['1967'],,,
BRIT-A-AR003-002-01-032,https://texashistory.unt.edu/ark/67531/metapth1634343,ark/67531/metapth1634343,"['[Unidentified plants in Sexial Beach, Portugal]']",['1967'],,,
BRIT-A-AR003-002-01-034,https://texashistory.unt.edu/ark/67531/metapth1634345,ark/67531/metapth1634345,"['[Unidentified lizard in Sexial Beach, Portugal]']",['1967'],,,
BRIT-A-AR003-002-01-033,https://texashistory.unt.edu/ark/67531/metapth1634344,ark/67531/metapth1634344,"['[Unidentified plant in Sexial Beach, Portugal]']",['1967'],,,
BRIT-A-AR003-002-01-035,https://texashistory.unt.edu/ark/67531/metapth1634346,ark/67531/metapth1634346,"['[Unidentified lizard in Sexial Beach, Portugal]']",['1967'],,,
BRIT-A-AR003-002-01-038,https://texashistory.unt.edu/ark/67531/metapth1634349,ark/67531/metapth1634349,['[Echium pininana in the Canary Islands]'],['[1967..1968]'],,,
BRIT-A-AR003-002-01-036,https://texashistory.unt.edu/ark/67531/metapth1634347,ark/67531/metapth1634347,"['[Unidentified lizard in Sexial Beach, Portugal]']",['1967'],,,
BRIT-A-AR003-002-01-037,https://texashistory.unt.edu/ark/67531/metapth1634348,ark/67531/metapth1634348,"['[Unidentified lizard in Sexial Beach, Portugal]']",['1967'],,,
BRIT-A-AR003-002-01-039,https://texashistory.unt.edu/ark/67531/metapth1634350,ark/67531/metapth1634350,['[Echium pininana in the Canary Islands]'],['1967'],,,
BRIT-A-AR003-002-01-043,https://texashistory.unt.edu/ark/67531/metapth1634354,ark/67531/metapth1634354,['[Echium pininana in the Canary Islands]'],['1967'],,,
BRIT-A-AR003-002-01-042,https://texashistory.unt.edu/ark/67531/metapth1634353,ark/67531/metapth1634353,['[Echium pininana in the Canary Islands]'],['1967'],,,
BRIT-A-AR003-002-01-040,https://texashistory.unt.edu/ark/67531/metapth1634351,ark/67531/metapth1634351,['[Echium pininana in the Canary Islands]'],['1967'],,,
